MOF,MOFid,CO2_capacity_001,CO2_capacity_005,CO2_capacity_01,CO2_capacity_05,CO2_capacity_25,node,linkers
hMOF-7000134,[O-]C(=O)C#CC#CC(=O)[O-].[O-]C(=O)C=C(C(=O)[O-])F.[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.pcu.cat0;7000134,0.218482,0.734054,1.09776,1.52796,2.05282,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)C#CC#CC(=O)[O-]', '[O-]C(=O)C=C(C(=O)[O-])F']"
hMOF-7000431,[O-]C(=O)C#CC=CC#CC(=O)[O-].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.hex.cat0;7000431,0.263196,0.83203,1.09681,2.3944,4.77184,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)C#CC=CC#CC(=O)[O-]', '[O-]C(=O)c1ccc(cc1)C(=O)[O-]']"
hMOF-7001576,[O-]C(=O)C#CC12C3C4C2(C2(C1C3(C42C#CC(=O)[O-])C)C)C.[O-]C(=O)C12C(C)C(C)C(C(C1C)(C)C)(C(C2(C)C)C)C(=O)[O-].[O-]C(=O)C12C(C)CC(C(C1C)C)(C(C2C)(C)C)C(=O)[O-].[O-]C(=O)C12CCC(C(C1)C)(C(C2C)(C)C)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.hex.cat0;7001576,0.160757,0.689094,1.09642,2.43826,3.65005,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)C#CC12C3C4C2(C2(C1C3(C42C#CC(=O)[O-])C)C)C', '[O-]C(=O)C12C(C)C(C)C(C(C1C)(C)C)(C(C2(C)C)C)C(=O)[O-]', '[O-]C(=O)C12C(C)CC(C(C1C)C)(C(C2C)(C)C)C(=O)[O-]', '[O-]C(=O)C12CCC(C(C1)C)(C(C2C)(C)C)C(=O)[O-]']"
hMOF-7001513,N#CC1=CC23C(=[N])[N]2(C3(c2c1c(ccc2C(=O)[O-])C(=O)[O-])C#N)[C]c1ccc(c(c1C(=O)[O-])C#N)C#N.N#Cc1cc(C(=O)[O-])c2c(c1C(=O)[O-])C1(C#N)N(C1C=C2C#N)[C]c1ccccc1C(=O)[O-].N#Cc1cc(cc(c1)C1=[N]=C([N]1)C12C3C4(C2(C2C1(C3(C42)C#N)C#CC(=O)[O-])C#N)C#CC(=O)[O-])C(=O)[O-].N#Cc1ccc2c(c1)c(cc(c2C(=O)[O-])C#N)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.hex.cat0;7001513,0.262069,0.809064,1.09573,2.05799,3.4224,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['N#CC1=CC23C(=[N])[N]2(C3(c2c1c(ccc2C(=O)[O-])C(=O)[O-])C#N)[C]c1ccc(c(c1C(=O)[O-])C#N)C#N', 'N#Cc1cc(C(=O)[O-])c2c(c1C(=O)[O-])C1(C#N)N(C1C=C2C#N)[C]c1ccccc1C(=O)[O-]', 'N#Cc1cc(cc(c1)C1=[N]=C([N]1)C12C3C4(C2(C2C1(C3(C42)C#N)C#CC(=O)[O-])C#N)C#CC(=O)[O-])C(=O)[O-]', 'N#Cc1ccc2c(c1)c(cc(c2C(=O)[O-])C#N)C(=O)[O-]']"
hMOF-1003170,[O-]C(=O)C1=CC=C([C]=[C]1)C(=O)[O-].[O-]C(=O)C1=C[C]=C(C=C1)C(=O)[O-].[O-]C(=O)C1=[C]C(=C(C(=C1Br)Br)C(=O)[O-])Br.[O-]C(=O)C1=[C]C(=C([C]=C1)C(=O)[O-])Br.[O-]C(=O)c1cc(Br)c(cc1Br)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)Br)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0,0.161089,0.642727,1.09416,2.27973,3.39013,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)C1=CC=C([C]=[C]1)C(=O)[O-]', '[O-]C(=O)C1=C[C]=C(C=C1)C(=O)[O-]', '[O-]C(=O)C1=[C]C(=C(C(=C1Br)Br)C(=O)[O-])Br', '[O-]C(=O)C1=[C]C(=C([C]=C1)C(=O)[O-])Br', '[O-]C(=O)c1cc(Br)c(cc1Br)C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1)Br)C(=O)[O-]']"
hMOF-7000172,N#CC1=C(C(=O)[O-])C2[C]3C45C1[N][C]4[C]1C4(C2=[N])[C]3[N]C4([C]N2[N][C]2c2c([C][N][N][C]c3cc4cc(cc6c4c4c3cc(cc4cc6)C(=O)[O-])C(=O)[O-])c3cc(cc4c3c3c2c(C#N)c(C(=O)[O-])c(c3c(c4)C#N)C#N)C(=O)[O-])C(=C(C1C5=[N])C(=O)[O-])C#N.N#CC1=C2[C]3[N]C4(C3C3C2([C](C(=C1C(=O)[O-])C#N)C#N)C(=[N])C3C(=C4)C(=O)[O-])C#N.[O-]C(=O)C#CC#CC(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.UNKNOWN.cat0;7000172,0.116244,0.605567,1.09325,3.37441,6.26762,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['N#CC1=C(C(=O)[O-])C2[C]3C45C1[N][C]4[C]1C4(C2=[N])[C]3[N]C4([C]N2[N][C]2c2c([C][N][N][C]c3cc4cc(cc6c4c4c3cc(cc4cc6)C(=O)[O-])C(=O)[O-])c3cc(cc4c3c3c2c(C#N)c(C(=O)[O-])c(c3c(c4)C#N)C#N)C(=O)[O-])C(=C(C1C5=[N])C(=O)[O-])C#N', 'N#CC1=C2[C]3[N]C4(C3C3C2([C](C(=C1C(=O)[O-])C#N)C#N)C(=[N])C3C(=C4)C(=O)[O-])C#N', '[O-]C(=O)C#CC#CC(=O)[O-]']"
hMOF-7000741,Nc1cc(ccc1N=Nc1ccc(c(c1N)N)C(=O)[O-])C(=O)[O-].[O-]C(=O)C12C(N)C(N)C(C(C1N)(N)N)(CC2(N)N)C(=O)[O-].[O-]C(=O)C12CC(N)(N)C(C(C1N)N)(C(C2N)(N)N)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.pcu.cat0;7000741,0.163871,0.616231,1.09278,2.21355,3.11905,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['Nc1cc(ccc1N=Nc1ccc(c(c1N)N)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C12C(N)C(N)C(C(C1N)(N)N)(CC2(N)N)C(=O)[O-]', '[O-]C(=O)C12CC(N)(N)C(C(C1N)N)(C(C2N)(N)N)C(=O)[O-]']"
hMOF-7000613,ClC1=[C]C(=c2c(=[C]1)c1[C]=C(C(=O)[O-])C(=Cc1cc2)Cl)C(=O)[O-].Clc1cc(C(=O)[O-])c2c(-c3cc(C(=O)[O-])c(c(c3[C]=C2Cl)Cl)Cl)c1.[O-]C(=O)C#CC=CC#CC(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.pcu.cat0;7000613,0.12928,0.60041,1.09226,2.93145,6.17296,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['ClC1=[C]C(=c2c(=[C]1)c1[C]=C(C(=O)[O-])C(=Cc1cc2)Cl)C(=O)[O-]', 'Clc1cc(C(=O)[O-])c2c(-c3cc(C(=O)[O-])c(c(c3[C]=C2Cl)Cl)Cl)c1', '[O-]C(=O)C#CC=CC#CC(=O)[O-]']"
hMOF-7000209,N#Cc1cc(C(=O)[O-])c(c(c1C(=O)[O-])C#N)C#N.N#Cc1cc(ccc1C(=O)[O-])C(=O)[O-].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.hex.cat0;7000209,0.449483,0.7672,1.09198,2.06293,3.50048,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['N#Cc1cc(C(=O)[O-])c(c(c1C(=O)[O-])C#N)C#N', 'N#Cc1cc(ccc1C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C#CC#CC#CC(=O)[O-]']"
hMOF-1004625,NC(=CC(=O)[O-])C(=CC(=O)[O-])N.N[NH2]c1c2c(ccc3=CC=C([C]=c23)C(=O)[O-])c2c(c1N)c(N)c(c(c2)C(=O)[O-])N.[O-]C(=O)c1cc2c3cc(N)c4c(c3ccc2c(c1N)N)c(N)c(c(c4)N)C(=O)[O-].[O-]C(=O)c1ccc(cc1)[NH2][NH2]c1c(N)ccc(c1N)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.hex.cat0,0.171299,0.696599,1.09185,3.02694,5.17177,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['NC(=CC(=O)[O-])C(=CC(=O)[O-])N', 'N[NH2]c1c2c(ccc3=CC=C([C]=c23)C(=O)[O-])c2c(c1N)c(N)c(c(c2)C(=O)[O-])N', '[O-]C(=O)c1cc2c3cc(N)c4c(c3ccc2c(c1N)N)c(N)c(c(c4)N)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1)[NH2][NH2]c1c(N)ccc(c1N)C(=O)[O-]']"
hMOF-1004472,N#CC(=CC(=O)[O-])C=C(C(=O)[O-])C#N.N#CC(=CC(=O)[O-])C=CC(=O)[O-].N#Cc1cc(C(=O)[O-])c(c2c1[C][N]C([N])([N][C]c1cc(C#N)c(c(c1C#N)C#N)C(=O)[O-])c1c(cc3c4-c5c(C6N([C]2)C6c14)cc(cc5C12C3(C#N)[N]31C2([C]3c1cc(cc(c1C#N)C#N)C(=O)[O-])[N])C(=O)[O-])C(=O)[O-])C#N.[O-]C(=O)C=CC=CC(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.hex.cat0,0.111789,0.591868,1.09108,3.70268,5.66289,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['N#CC(=CC(=O)[O-])C=C(C(=O)[O-])C#N', 'N#CC(=CC(=O)[O-])C=CC(=O)[O-]', 'N#Cc1cc(C(=O)[O-])c(c2c1[C][N]C([N])([N][C]c1cc(C#N)c(c(c1C#N)C#N)C(=O)[O-])c1c(cc3c4-c5c(C6N([C]2)C6c14)cc(cc5C12C3(C#N)[N]31C2([C]3c1cc(cc(c1C#N)C#N)C(=O)[O-])[N])C(=O)[O-])C(=O)[O-])C#N', '[O-]C(=O)C=CC=CC(=O)[O-]']"
hMOF-7001074,[O-]C(=O)C12C3C4C2(C2C1C3(C42C(=O)[O-])Br)Br.[O-]C(=O)C1=C[C]=C([C]=[C]1)C(=O)[O-].[O-]C(=O)C1=[C]C=C(C(=[C]1)Br)C(=O)[O-].[O-]C(=O)C1=[C][C]=C([C]=C1)C(=O)[O-].[O-]C(=O)c1cc(Br)c(c(c1)Br)C(=O)[O-].[O-]C(=O)c1ccc(c(c1Br)Br)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0;7001074,0.175382,0.718344,1.09072,1.97913,2.68357,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)C12C3C4C2(C2C1C3(C42C(=O)[O-])Br)Br', '[O-]C(=O)C1=C[C]=C([C]=[C]1)C(=O)[O-]', '[O-]C(=O)C1=[C]C=C(C(=[C]1)Br)C(=O)[O-]', '[O-]C(=O)C1=[C][C]=C([C]=C1)C(=O)[O-]', '[O-]C(=O)c1cc(Br)c(c(c1)Br)C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1Br)Br)C(=O)[O-]']"
hMOF-7001662,[O-]C(=O)C#CC(=O)[O-].[O-]C(=O)C1=CC=C([C]=C1)[C]=C(C1=C(F)C=C(C=[C]1)C(=O)[O-])F.[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.hex.cat0;7001662,0.102815,0.500236,1.0904,2.9034,4.82156,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)C#CC(=O)[O-]', '[O-]C(=O)C1=CC=C([C]=C1)[C]=C(C1=C(F)C=C(C=[C]1)C(=O)[O-])F']"
hMOF-7001210,COC12C3C4(C1C1(C2(C3(C41)OC)C(=O)[O-])OC)C(=O)[O-].[CH2]OC(=C(C([O])[O])OC)C=C(C(=O)[O-])OC.[CH2]O[C]([CH]C([O])[O])C=CC(=O)[O-].[O-]C(=O)C=CC=CC(=O)[O-].[O-]C(=O)[C]=CC=C(C(=O)[O-])[O].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.bct,0.124984,0.582071,1.08979,2.67601,3.7072,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['COC12C3C4(C1C1(C2(C3(C41)OC)C(=O)[O-])OC)C(=O)[O-]', '[CH2]OC(=C(C([O])[O])OC)C=C(C(=O)[O-])OC', '[CH2]O[C]([CH]C([O])[O])C=CC(=O)[O-]', '[O-]C(=O)C=CC=CC(=O)[O-]', '[O-]C(=O)[C]=CC=C(C(=O)[O-])[O]']"
hMOF-7000185,[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)c1cc(F)c(c(c1F)F)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.pcu.cat0;7000185,0.439316,0.681433,1.0895,2.65103,4.30967,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O-]C(=O)c1cc(F)c(c(c1F)F)C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-]']"
hMOF-1004143,[O-]C(=O)c1c2ccccc2c(c2c1cccc2)C(=O)[O-].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0,0.107448,0.485542,1.08911,3.62718,5.27058,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)c1c2ccccc2c(c2c1cccc2)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1)C(=O)[O-]']"
hMOF-1003341,[O-]C(=O)C#CC(=O)[O-].[O-]C(=O)C1=CC=C([C]=C1F)c1cc(F)c(c(c1F)F)c1cc(F)c(c(c1F)F)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.hex.cat0,0.156391,0.611224,1.08836,4.0127,6.74276,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)C#CC(=O)[O-]', '[O-]C(=O)C1=CC=C([C]=C1F)c1cc(F)c(c(c1F)F)c1cc(F)c(c(c1F)F)C(=O)[O-]']"
hMOF-7000781,ClC1C(Cl)C2(CCC1(C(=O)[O-])[C]([C]2Cl)Cl)C(=O)[O-].[O-]C(=O)C12[CH]C(Cl)C(C(C1)(Cl)Cl)(C(C2Cl)Cl)C(=O)[O-].[O-]C(=O)C12[CH]CC(C(C1)Cl)(C([CH]2)Cl)C(=O)[O-].[O-]C(=O)C1=[C]C2=C([C]=C1)[C]=Cc1c2cccc1C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.hex.cat0;7000781,0.190025,0.610712,1.08648,2.00199,2.87329,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['ClC1C(Cl)C2(CCC1(C(=O)[O-])[C]([C]2Cl)Cl)C(=O)[O-]', '[O-]C(=O)C12[CH]C(Cl)C(C(C1)(Cl)Cl)(C(C2Cl)Cl)C(=O)[O-]', '[O-]C(=O)C12[CH]CC(C(C1)Cl)(C([CH]2)Cl)C(=O)[O-]', '[O-]C(=O)C1=[C]C2=C([C]=C1)[C]=Cc1c2cccc1C(=O)[O-]']"
hMOF-7000281,[O-]C(=O)C#CC(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.hxl.cat0;7000281,0.123581,0.555815,1.08604,3.1397,4.97266,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['[O-]C(=O)C#CC(=O)[O-]']
hMOF-7001683,[O-]C(=O)c1cc(c2ccccc2)c(cc1c1ccccc1)C=Cc1ccc(cc1c1ccccc1)C(=O)[O-].[O-]C(=O)c1ccc(c(c1c1ccccc1)c1ccccc1)C#Cc1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1c1ccccc1)C#Cc1c(cc(c(c1c1ccccc1)c1ccccc1)C(=O)[O-])c1ccccc1.[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.pcu.cat0;7001683,0.176056,0.75028,1.08531,2.90149,7.02982,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)c1cc(c2ccccc2)c(cc1c1ccccc1)C=Cc1ccc(cc1c1ccccc1)C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1c1ccccc1)c1ccccc1)C#Cc1ccc(cc1)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1c1ccccc1)C#Cc1c(cc(c(c1c1ccccc1)c1ccccc1)C(=O)[O-])c1ccccc1']"
hMOF-1004359,[O-]C(=O)c1cc2cc(N)c3c4c2c(c1N)ccc4c(c(c3N)C(=O)[O-])N.[O-]C(=O)c1ccc(c(c1)N)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.pcu.cat0,0.114905,0.592887,1.08524,3.16785,4.37134,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)c1cc2cc(N)c3c4c2c(c1N)ccc4c(c(c3N)C(=O)[O-])N', '[O-]C(=O)c1ccc(c(c1)N)C(=O)[O-]']"
hMOF-1003278,[O-]C(=O)c1cc(N)c(c(c1N)N)C(=O)[O-].[O-]C(=O)c1cc(N)c(cc1N)C(=O)[O-].[O-]C(=O)c1ccc(c(c1N)[NH2][NH2]C1C(N)c2c1c(ccc2C(=O)[O-])C(=O)[O-])C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.bct,0.249518,0.853724,1.08519,2.07234,3.43491,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)c1cc(N)c(c(c1N)N)C(=O)[O-]', '[O-]C(=O)c1cc(N)c(cc1N)C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1N)[NH2][NH2]C1C(N)c2c1c(ccc2C(=O)[O-])C(=O)[O-])C(=O)[O-]']"
hMOF-1004248,[O-]C(=O)C=C(C(=C(C(=O)[O-])Br)Br)Br.[O-]C(=O)C=CC(=[C]C(=O)[O-])Br.[O-]C(=O)C=C[C]=C(C(=O)[O-])Br.[O-]C(=O)C=C[C]=[C]C(=O)[O-].[O-]C(=O)[C]=CC(=CC(=O)[O-])Br.[O-]C(=O)c1c2=C(Br)[C]=C(C(=c2c(c2c1ccc(c2Br)Br)C(=O)[O-])Br)Br.[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0,0.181848,0.791165,1.08354,1.61961,1.86233,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)C=C(C(=C(C(=O)[O-])Br)Br)Br', '[O-]C(=O)C=CC(=[C]C(=O)[O-])Br', '[O-]C(=O)C=C[C]=C(C(=O)[O-])Br', '[O-]C(=O)C=C[C]=[C]C(=O)[O-]', '[O-]C(=O)[C]=CC(=CC(=O)[O-])Br', '[O-]C(=O)c1c2=C(Br)[C]=C(C(=c2c(c2c1ccc(c2Br)Br)C(=O)[O-])Br)Br']"
hMOF-7000365,ClC(=CC(=O)[O-])C(=CC(=O)[O-])Cl.[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=[C]C(=O)[O-].[O-]C(=O)[C]=CC(=CC(=O)[O-])Cl.[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.hex.cat0;7000365,0.130384,0.802856,1.08063,3.61587,5.93986,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['ClC(=CC(=O)[O-])C(=CC(=O)[O-])Cl', '[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O-]C(=O)C=CC=[C]C(=O)[O-]', '[O-]C(=O)[C]=CC(=CC(=O)[O-])Cl']"
hMOF-7000953,[O-]C(=O)C#CC12CC(F)C(C(C1)(F)F)(CC2F)C#CC(=O)[O-].[O-]C(=O)C=CC(=CC(=O)[O-])F.[O-]C(=O)C=CC=C(C(=O)[O-])F.[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.hex.cat0;7000953,0.0885636,0.514274,1.08045,3.38113,6.33404,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)C#CC12CC(F)C(C(C1)(F)F)(CC2F)C#CC(=O)[O-]', '[O-]C(=O)C=CC(=CC(=O)[O-])F', '[O-]C(=O)C=CC=C(C(=O)[O-])F']"
hMOF-1003471,FC1C(F)c2c1c(ccc2C(=O)[O-])C(=O)[O-].FC1Cc2c1c(C(=O)[O-])c(c(c2C(=O)[O-])F)F.[O-]C(=O)c1c(F)cc(cc1F)C#Cc1cc(F)c(c(c1F)F)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.hex.cat0,0.377515,0.812813,1.08017,2.07548,4.94809,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['FC1C(F)c2c1c(ccc2C(=O)[O-])C(=O)[O-]', 'FC1Cc2c1c(C(=O)[O-])c(c(c2C(=O)[O-])F)F', '[O-]C(=O)c1c(F)cc(cc1F)C#Cc1cc(F)c(c(c1F)F)C(=O)[O-]']"
hMOF-1004551,[O-]C(=O)C#CC(=O)[O-].[O-]C(=O)c1cc(F)c2c(c1)c1c(F)c(F)c3c(c1c(c2F)F)cc(cc3F)C(=O)[O-].[O-]C(=O)c1ccc2c(c1)c1c(F)cc3c(c1cc2F)c(F)c(c(c3)F)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.pcu.cat0,0.112937,0.523655,1.07984,4.43934,8.60907,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)C#CC(=O)[O-]', '[O-]C(=O)c1cc(F)c2c(c1)c1c(F)c(F)c3c(c1c(c2F)F)cc(cc3F)C(=O)[O-]', '[O-]C(=O)c1ccc2c(c1)c1c(F)cc3c(c1cc2F)c(F)c(c(c3)F)C(=O)[O-]']"
